"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"f[4,115]",0.206941880108025,0.271599538823442,0.010411385,0.114254,0.96354205,1.02,6520
"f[5,115]",0.243279906678175,0.44997295495585,0.009799078,0.1084445,1.32963825000001,1.03,6535
"f[1,116]",0.0564461923478975,0.0881153083848064,0.0025874385,0.0300226,0.27458745,1.01,3167
"f[2,116]",0.064550298936675,0.110191230124669,0.00271006525,0.0305671,0.34690405,1.02,4511
"f[3,116]",0.0853195750527725,0.132283954159404,0.0041010895,0.0437072,0.43673065,1.02,5152
"f[4,116]",0.1020390987118,0.146349783954393,0.00497870525,0.054477,0.490594075,1.02,5842
"f[5,116]",0.124179641504825,0.250289990320283,0.0044947525,0.05325035,0.7061617,1.01,6762
"f[1,117]",0.0572534216735075,0.094733447480329,0.00216113975,0.0287057,0.28556835,1.11,2857
"f[2,117]",0.0379323707894275,0.0662750903248412,0.0016956995,0.01883865,0.19143675,1.05,5005
"f[3,117]",0.067634803881725,0.123229059495499,0.002747637,0.0309875,0.371068075,1.04,5064
"f[4,117]",0.0768540636128,0.124587513169443,0.00323586625,0.03717605,0.4014538,1.06,4213
"f[5,117]",0.0882680492506375,0.218985331555459,0.002690985,0.0330599,0.532297,1.03,6349
"f[1,118]",0.0741308503769525,0.135958707970327,0.00247247175,0.0346797,0.3843468,1.04,2362
"f[2,118]",0.0331971417265175,0.050919455868292,0.00134894575,0.01719635,0.16368415,1.03,1873
"f[3,118]",0.0597582822042225,0.0948167133175696,0.002394149,0.03027815,0.299920175,1.04,2651
