"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"pJS[5,167]",0.0112839,0.0316351,0.0588875,0.03352891783775,0.0128837820883924,NA,7.89747433439176e-05,0.6,26614,0.0129333716699853,1.00041083105167
"pJS[1,168]",0.0193779,0.0428749,0.0746578,0.04486207794,0.0148379525936568,NA,0.000103674708658154,0.7,20483,0.0259836947906509,1.00139461978383
"pJS[2,168]",0.0165975,0.03987675,0.0718944,0.04204915495175,0.0149437902843229,NA,9.4369003850128e-05,0.6,25076,0.0228751082148218,1.00047611419705
"pJS[3,168]",0.013183,0.0367065,0.0704752,0.03925668987375,0.0157041198211234,NA,0.00010638550473628,0.7,21790,0.0155026356888716,1.00035146901421
"pJS[4,168]",0.0111652,0.0333743,0.066693,0.03611448220375,0.015467837756768,NA,0.000145771083855884,0.9,11259,0.0309127151846277,1.00070856443503
"pJS[5,168]",0.0293401,0.0630487,0.10845,0.065903825205,0.0211124269179521,NA,0.000126366416961689,0.6,27913,0.00891229252674386,1.00030513149596
"pJS[1,169]",0.00755706,0.0205525,0.0381935,0.02184918368575,0.00834390081828993,NA,5.46676351362326e-05,0.7,23296,0.0166923964901786,1.00148818440625
"pJS[2,169]",0.0140998,0.0350808,0.0641296,0.03713855189125,0.0134871799574695,NA,8.32044629801013e-05,0.6,26275,0.0162483710903752,1.00039258782194
"pJS[3,169]",0.0156294,0.0413725,0.0788526,0.04433045449075,0.0174170407296449,NA,0.000106304781088431,0.6,26844,0.0114485244613545,1.00046937510486
"pJS[4,169]",0.0079221,0.02520735,0.0513951,0.027444471709,0.012165015195288,NA,0.000116637484868622,1,10878,0.0423153696458138,1.00103560767747
"pJS[5,169]",0.0137759,0.03436595,0.0631961,0.03633028583775,0.0133223540074918,NA,7.99150978492122e-05,0.6,27791,0.00145992779510108,1.00045027706199
"pJS[1,170]",0.00850704,0.0228291,0.0439568,0.0244656528695,0.00979488190106725,NA,6.17715190561246e-05,0.6,25143,0.0176234759076544,1.00215623369841
"pJS[2,170]",0.00833082,0.02418875,0.0477912,0.02602837853925,0.0108861389589863,NA,5.93161250141096e-05,0.5,33682,0.010869056118703,1.00091195993717
"pJS[3,170]",0.016751,0.04530555,0.0882894,0.048732269571,0.0197520211775091,NA,0.000122498830502207,0.6,25999,0.0113127990425985,1.00057385102007
"pJS[4,170]",0.0155394,0.04441705,0.0880508,0.04798731285975,0.0203109500527412,NA,0.000199918764519712,1,10322,0.0383493552287293,1.00071911076822
"pJS[5,170]",0.0170215,0.0433728,0.0804964,0.0460913972525,0.0173060318620702,NA,0.000106738367488207,0.6,26288,0.00988240351404622,1.0005772593193
"alpha.pJS[1]",-3.90716,-3.62289,-3.34364,-3.62343457175,0.144090041022791,NA,0.00224931898686127,1.6,4104,0.156948074567317,1.01663377909452
"alpha.pJS[2]",-3.65634,-3.429815,-3.20114,-3.43059342,0.115913469070861,NA,0.00159646563739618,1.4,5272,0.128798764669172,1.00877628509204
"alpha.pJS[3]",-3.3281,-3.07554,-2.82317,-3.0754235215,0.128920568787686,NA,0.00185454390185159,1.4,4832,0.1311745945385,1.0039580046156
"alpha.pJS[4]",-3.92359,-3.51592,-3.09654,-3.51991634025,0.210775730570905,NA,0.00434924334895976,2.1,2349,0.210079245189382,1.00928673962239
"alpha.pJS[5]",-3.36679,-3.12126,-2.88685,-3.1220744865,0.122442320629239,NA,0.00161087196811386,1.3,5778,0.110172006439699,1.00511689146404
"sigma.pJS",0.375261,0.4629835,0.548211,0.463000575425,0.0442691504935954,NA,0.000570578614020597,1.3,6020,0.0856977746390211,1.01752670838797
"varp[1]",0,1,1,0.65165,0.47645351577968,1,0.00748413485256694,1.6,4053,0.166687381850959,1.00062878444032
"varp[2]",0,1,1,0.727325,0.445340659026957,1,0.006650763431046,1.5,4484,0.138171409876932,1.00034878631302
"varp[3]",0,0,1,0.362225,0.480649378414894,0,0.0031353253569248,0.7,23501,0.0079212357815745,1.00000412577262
"varp[4]",0,0,1,0.395975,0.489065209347869,0,0.00364073360056229,0.7,18045,0.0201770376295161,1.00005040995898
"varp[5]",0,1,1,0.516825,0.499723085772572,1,0.00449655150274207,0.9,12351,0.0348122919808933,1.00006092960651
"varp[6]",0,1,1,0.78115,0.413471826698975,1,0.00859027053058052,2.1,2317,0.275283100164404,1.00066516721472
"varp[7]",0,1,1,0.811,0.391513514544264,1,0.00495096967732012,1.3,6253,0.0717699025480539,1.0000266386643
"varp[8]",0,0,1,0.424725,0.494307376911949,0,0.00308753296334317,0.6,25631,0.00916451162971178,1.00006119835019
"varp[9]",0,1,1,0.546075,0.497878791933626,1,0.00259027217258311,0.5,36945,0.0049728607701075,0.999993650934391
"varp[10]",0,1,1,0.780075,0.414200776715937,1,0.00358435030743855,0.9,13354,0.0248306203431055,1.00803832170953
"rho[1,2]",0.768049,1.023785,1.28372,1.0338663299,0.146459554409041,NA,0.000831118844183229,0.6,31053,0.010265328340539,1.00187916453431
"rho[2,2]",0.7777,1.02109,1.27131,1.02333144785,0.12620079891624,NA,0.000634558616517557,0.5,39553,0.00164836514695489,1.00132564412294
"rho[3,2]",0.729337,1.04094,1.39659,1.055090435425,0.188972160019605,NA,0.000948189029394096,0.5,39720,-0.00214491424058287,1.00055456738624
"rho[4,2]",0.711329,1.037415,1.39865,1.049073687875,0.18328912060758,NA,0.000982405185578814,0.5,34809,0.00346992839638832,1.0043996565224
"rho[5,2]",0.728076,1.02519,1.29347,1.02404824925,0.140077012886475,NA,0.000730118698614369,0.5,36808,0.007838245466393,1.00488947748409
"rho[1,3]",0.736964,1.005415,1.23435,0.9999834274,0.120737768840602,NA,0.000611623801720499,0.5,38969,-0.00206589902062719,1.00467627447229
"rho[2,3]",0.625658,0.9943135,1.21291,0.97152308855,0.141885927618723,NA,0.000955121068845607,0.7,22068,0.029085192490169,1.02587476691031
"rho[3,3]",0.727641,1.02742,1.31855,1.0290391443,0.14477229165164,NA,0.00075554020346017,0.5,36716,-0.00171645924689305,1.00156539385094
"rho[4,3]",0.710211,1.042825,1.40784,1.059341317475,0.195091728587898,NA,0.00113594231003326,0.6,29496,0.00063758498156351,1.00341146739107
