"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"rho[3,137]",1.142362059865,0.366725803399644,0.78107195,1.04354,2.092512,1,25179
"rho[4,137]",1.434782590435,0.795868822756781,0.809891675,1.190855,3.53592075,1,11754
"rho[5,137]",1.1718092197125,0.458044317204175,0.765844825,1.04763,2.33633175,1,19404
"rho[1,138]",1.1578616356625,0.520063633465403,0.781878875,1.01646,2.3893105,1.01,37828
"rho[2,138]",1.0798932801225,0.261442521072566,0.808487825,1.00822,1.77475374999999,1,39996
"rho[3,138]",1.094869572335,0.329814456241087,0.746491825,1.0062,1.9636,1,29780
"rho[4,138]",1.2530944121475,0.524667414959096,0.767254975,1.09637,2.65412125,1,18080
"rho[5,138]",1.4097858126075,0.78463854367033,0.790617975,1.15935,3.5399,1.01,13036
"rho[1,139]",1.0626310505225,0.397329851065945,0.681718925,0.9682605,2.0338205,1.01,51362
"rho[2,139]",1.033675820225,0.251590812299197,0.7334918,0.9721405,1.69988075,1,39181
"rho[3,139]",1.0841837609375,0.359640975800727,0.680378975,0.987598,2.05844125,1,26972
"rho[4,139]",1.1170299166875,0.397317167684716,0.678048,1.00916,2.1735725,1,25465
"rho[5,139]",0.9431294721775,0.244288618654461,0.5866189,0.9004775,1.5570905,1,26272
"rho[1,140]",0.9338787496125,0.228791956960294,0.5988877,0.907185,1.48707,1,25700
"rho[2,140]",1.0916381346775,0.345004931509337,0.744971,0.9893725,2.0314205,1,25619
"rho[3,140]",0.9948035051775,0.301485771167539,0.629774675,0.9254165,1.775441,1,24340
"rho[4,140]",0.951991143095,0.250208521171061,0.6198018,0.899528,1.59573,1,24777
"rho[5,140]",1.01567430154,0.337025613382098,0.632589,0.931068,1.90498,1,29016
"rho[1,141]",0.9178626193925,0.19625160553144,0.639574975,0.89586,1.37396025,1,52548
"rho[2,141]",1.085914318195,0.367353946659892,0.775059925,0.970493,2.109991,1,20885
"rho[3,141]",0.99237755446,0.31033110829798,0.67715585,0.9150125,1.79957275,1,27572
"rho[4,141]",0.8188187948225,0.123650442229893,0.590532875,0.8105495,1.09018025,1,28364
"rho[5,141]",0.8874923563425,0.194959241153706,0.6009369,0.857584,1.3602005,1,33842
"rho[1,142]",0.91347370500575,0.148753941570775,0.669644725,0.911406,1.21284025,1.01,17110
"rho[2,142]",0.95064125261,0.146754002284638,0.761795975,0.9349955,1.29322075,1,20593
"rho[3,142]",0.9479957499275,0.228674299643005,0.6953466,0.913726,1.50812399999999,1,18135
"rho[4,142]",0.85378711046,0.127041090547971,0.609934825,0.8530045,1.10263,1.01,7428
"rho[5,142]",0.899663704875,0.164843316939835,0.647704775,0.887496,1.26642025,1,17606
"rho[1,143]",0.9948726148125,0.303618247282566,0.6851048,0.9338095,1.72079,1.01,59265
"rho[2,143]",0.962488448945,0.163003163141734,0.728723775,0.933149,1.3761,1,45155
"rho[3,143]",1.1144201706175,0.43572630553131,0.718228625,0.985359,2.29025399999999,1,21884
"rho[4,143]",0.8404286660725,0.158558486663106,0.545722975,0.829759,1.19615025,1.01,23901
"rho[5,143]",0.993249153765,0.287585454414827,0.66633695,0.9241315,1.75798499999999,1,35355
"rho[1,144]",0.97532646126,0.228763892698653,0.699440825,0.938547,1.52122275,1.01,48523
"rho[2,144]",0.9877809498275,0.165310207755138,0.77709195,0.9561145,1.41187025,1,32759
"rho[3,144]",0.960271965905,0.209537071250401,0.66534195,0.9247405,1.48821075,1,29662
"rho[4,144]",0.9031688726875,0.183844033817758,0.60191695,0.8838175,1.33587075,1,23248
"rho[5,144]",0.9472645734575,0.208534290857189,0.64976995,0.9139895,1.47117025,1,25065
"rho[1,145]",1.0318918494925,0.281427979668523,0.703268675,0.969905,1.7386305,1,73412
"rho[2,145]",1.0906865363925,0.260272014710523,0.8139419,1.018865,1.7854405,1,42012
"rho[3,145]",1.1193770176625,0.36973430635565,0.73957785,1.018895,2.07861225,1,29413
"rho[4,145]",1.0629802970175,0.34537569006773,0.67553295,0.977633,1.953851,1,32374
