Species	ID	Sex	CTmin	CTmax	Mass	SVL	CC	BC	Site	day	month	year	sprint_1_tb	sprint_1_speed	sprint_2_tb	sprint_2_speed	sprint_3_tb	sprint_3_speed
T_itambere	614	M	14.8	40.5	NA	NA	NA	NA	Mata_IBGE	27	9	2016	20.7	11.55	25.6	14.91	37	10.78
T_itambere	691	M	NA	NA	5	49	69	69	Cerrado_IBGE	22	6	2017	NA	NA	27.7	NA	NA	NA
T_itambere	693	NA	NA	NA	NA	32	41	41	Cerrado_IBGE	23	5	2017	NA	NA	27.5	NA	NA	NA
T_itambere	694	NA	NA	NA	NA	45	55	55	Cerrado_IBGE	22	5	2017	NA	NA	27.5	NA	NA	NA
T_itambere	696	M	12.4	44.6	NA	NA	NA	NA	Cerrado_IBGE	17	1	2016	16	9.45	24.2	17.13	32	14.99
T_itambere	699	J	NA	NA	3.5	40	30	10	Cerrado_IBGE	26	5	2017	NA	NA	27.4	NA	NA	NA
T_itambere	700	F	NA	NA	4.5	50	50	64	Cerrado_IBGE	19	6	2017	19.2	NA	NA	NA	NA	NA
T_itambere	701	F	7.7	37.3	12	53	48	21	Cerrado_IBGE	19	6	2017	14.4	6.46	19.1	10.5	25.6	15.58
T_itambere	702	M	7.4	36.4	9.5	60	79	79	Cerrado_IBGE	20	6	2017	15.1	10.62	19.8	11.75	27.6	8.88
T_itambere	703	M	9.8	33	8	56	70	70	Cerrado_IBGE	20	6	2017	14.6	6.88	19	10.25	25.3	10.91
T_itambere	704	J	NA	NA	3.5	44	55	55	Cerrado_IBGE	19	6	2017	NA	NA	NA	NA	NA	NA
T_itambere	796	NA	NA	NA	NA	42	45	45	Cerrado_IBGE	23	5	2017	NA	NA	27.9	NA	NA	NA
T_itambere	803	M	14.9	42.3	12.5	59	NA	NA	Cerrado_IBGE	6	6	2016	20.8	7.47	27	14.29	32.7	12.95
T_itambere	964	F	15.6	46.2	4.5	51	NA	NA	Cerrado_IBGE	6	7	2016	15.3	8.09	27.9	11.23	35.3	13.33
T_itambere	10B	F	12.9	38.5	9.5	63	NA	NA	Cerrado_IBGE	14	3	2016	19.4	11.5	25.2	18.63	32.1	19.15
T_itambere	1B	F	14.3	46.6	12	66	NA	NA	Cerrado_IBGE	22	9	2016	24.9	10.38	31.8	13.03	38.3	15.23
T_itambere	34A	F	NA	NA	3.5	45	57	57	Cerrado_IBGE	20	6	2017	NA	NA	27.3	NA	NA	NA
T_itambere	590A	M	15.2	42.3	5	40	NA	NA	Cerrado_IBGE	6	6	2016	20	9.17	27.6	9.16	34.4	9.79
T_itambere	605a	M	13.6	43.6	7	55	NA	NA	Cerrado_IBGE	5	7	2016	19.6	9.5	30.9	10.7	34.3	14.12
T_itambere	672A	F	NA	NA	4	51	67	67	Cerrado_IBGE	20	6	2017	NA	NA	27.5	NA	NA	NA
T_itambere	698A	J	NA	NA	3	40	20	19	Cerrado_IBGE	25	5	2017	NA	NA	27.8	NA	NA	NA
T_itambere	699A	J	NA	NA	2	39	144	144	Cerrado_IBGE	26	5	2017	NA	NA	27.5	NA	NA	NA
T_itambere	703a	F	13	46	5	41	NA	NA	Cerrado_IBGE	7	6	2016	20.4	7.68	27.7	9.84	36.5	9.54
T_itambere	707A	M	9.6	34.2	6	51	65	65	Cerrado_IBGE	20	6	2017	14.4	11.23	19.9	10.18	25.8	10.16
T_itambere	708A	F	NA	NA	5	51	56	33	Cerrado_IBGE	22	6	2017	NA	NA	27.6	NA	NA	NA
T_itambere	809A	M	NA	NA	7.25	62	75	75	Mata_JBB	1	9	2017	NA	NA	27.5	NA	NA	NA
T_itambere	810A	M	NA	NA	7	58	25	25	Cerrado_IBGE	18	9	2017	NA	NA	28	NA	NA	NA
T_itambere	811A	M	NA	NA	5	50	51	40	Cerrado_IBGE	18	9	2017	NA	NA	28	NA	NA	NA
T_itambere	812A	F	NA	NA	8.5	59	70	70	Cerrado_IBGE	18	9	2017	NA	NA	27.9	NA	NA	NA
T_itambere	813A	M	NA	NA	5	50	68	68	Cerrado_IBGE	18	9	2017	NA	NA	28	NA	NA	NA
T_itambere	814A	M	NA	NA	7.5	64	76	76	Cerrado_IBGE	18	9	2017	NA	NA	27.6	NA	NA	NA
T_itambere	NA	M	NA	NA	5	65	90	90	Cerrado_IBGE	18	9	2017	NA	NA	27.1	NA	NA	NA
Tropidurusitambere	214	NoValue	9.6	43.4	11	55	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	261	NoValue	8	44	7.7	57	NA	NA	Cerrado_IBGE	22	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	278	Male	7.2	42.2	5.8	53	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	298	NoValue	10	41.6	9.4	65	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	299	NoValue	9.8	43.6	15.5	65	NA	NA	Cerrado_IBGE	22	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	300	NoValue	9.8	39.4	3.6	49	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	301	NoValue	10	42	23	78	NA	NA	Cerrado_IBGE	22	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	100A	NoValue	11.8	40.4	7.5	60	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	193a	Female	11.6	41.8	11.42	68	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	216A	Female	13.2	45	6.37	56	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	256a	Juvenile	12.6	42	4.75	55	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	291A	NoValue	13.4	NA	2.4	43	NA	NA	Cerrado_IBGE	22	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	296a	Male	NA	NA	6.46	60	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	302A	NoValue	8.2	44.2	5.5	57	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	303A	Juvenile	18.6	40.6	3.06	66	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	304A	Male	9.8	41.8	8.01	63	NA	NA	Cerrado_IBGE	21	8	2013	NA	NA	NA	NA	NA	NA
Tropidurusitambere	305A	Male	7.8	40.8	12	66	NA	NA	Cerrado_IBGE	23	8	2013	NA	NA	NA	NA	NA	NA
