Campanha	Parcela	Armadilha	Ponto_filtro	Ponto	MSFA_s	MSFB_s	MSFC_s	Massa	ChAb	ChAb	ChAb	Chao	CeFch	CeFch	CeFch	Ceu	CntCau	CntCau	CntCau	Caules	BurCh	Cupim	Distancia	Circunferencia	Tronco
48	BT	7	3	BT3	34.3	23	2.7	20	3	0	2	1.666666667	0	0	14	4.666666667	18	15	22	18.33333333	1	2	2.8	22	3
48	BT	8	4	BT4	59.1	5.4	1.6	22.03333333	0	4	5	3	0	0	0	0	20	4	17	13.66666667	0	1	2.3	20	3
48	BT	9	4	BT4	12.1	0.2	60.2	24.16666667	7	10	11	9.333333333	0	0	0	0	28	16	31	25	0	1	8.68	33	4
48	BT	10	0	BT0	38.5	34.9	32.9	35.43333333	1	15	2	6	0	0	0	0	21	22	30	24.33333333	0	0	14.5	30	3
48	Q	11	0	Q0	23.6	93	84.8	67.13333333	3	0	3	2	0	0	0	0	19	11	35	21.66666667	0	0	1.1	38	10
48	Q	12	1	Q1	72.1	114.7	91.2	92.66666667	8	9	0	5.666666667	0	0	0	0	22	22	20	21.33333333	0	1	2.4	20	2
48	Q	13	1	Q1	118.1	106.9	84	103	0	2	11	4.333333333	0	0	0	0	41	19	16	25.33333333	0	1	3.7	25	3
48	Q	14	2	Q2	117.4	59	45	73.8	12	23	3	12.66666667	10	0	0	3.333333333	20	23	18	20.33333333	0	2	2.7	45	2
48	Q	15	2	Q2	158.7	56.4	52.2	89.1	0	11	14	8.333333333	0	1	0	0.333333333	26	19	43	29.33333333	0	1	1.8	34	1
48	Q	16	3	Q3	47.8	47.5	40.9	45.4	3	10	19	10.66666667	0	0	0	0	18	40	16	24.66666667	0	3	1.5	20	3
48	Q	17	3	Q3	22.7	182.7	162.2	122.5333333	25	6	3	11.33333333	4	20	3	9	11	16	18	15	0	1	2.34	49	2
48	Q	18	4	Q4	63.8	88	60.1	70.63333333	4	19	6	9.666666667	0	0	1	0.333333333	27	18	34	26.33333333	1	0	2.7	35	0
48	Q	19	4	Q4	46	64.6	67.3	59.3	4	9	3	5.333333333	0	0	0	0	23	27	19	23	2	2	5.8	30	3
48	Q	20	0	Q0	39.8	118.5	68.8	75.7	13	6	12	10.33333333	0	4	1	1.666666667	18	33	18	23	0	2	1.5	21	3
48	BP	21	0	BP0	184.4	156.8	73.7	138.3	15	4	6	8.333333333	5	0	0	1.666666667	21	14	24	19.66666667	2	1	2.1	27	2
48	BP	22	1	BP1	88.8	128.4	80.8	99.33333333	2	6	7	5	3	8	4	5	17	30	20	22.33333333	0	1	1.85	20	1
48	BP	23	1	BP1	82.4	90.2	138.1	103.5666667	23	14	13	16.66666667	0	0	0	0	20	12	21	17.66666667	1	4	1	22	1
48	BP	24	2	BP2	104.5	52.1	52.6	69.73333333	23	18	22	21	0	0	0	0	26	12	21	19.66666667	1	1	1	20	0
48	BP	25	2	BP2	93.5	285.6	91.1	156.7333333	7	14	4	8.333333333	0	1	4	1.666666667	18	22	10	16.66666667	2	0	2.6	21	2
48	BP	26	3	BP3	90.8	115.9	72.4	93.03333333	15	19	22	18.66666667	7	0	0	2.333333333	18	42	19	26.33333333	0	0	3.52	28	5
48	BP	27	3	BP3	138	79.8	109.5	109.1	18	18	24	20	0	0	0	0	16	19	24	19.66666667	0	0	1.6	20	2
48	BP	28	4	BP4	69.2	295	125.2	163.1333333	18	3	1	7.333333333	0	24	1	8.333333333	14	19	11	14.66666667	2	3	3.6	37	1
48	BP	29	4	BP4	132.9	36.8	83.5	84.4	25	12	22	19.66666667	0	5	0	1.666666667	14	8	16	12.66666667	0	2	2.65	20	1
48	BP	30	0	BP0	186.2	113.3	77.1	125.5333333	25	20	17	20.66666667	0	0	0	0	12	19	15	15.33333333	1	2	0.56	38	7
